NUMBER NAME & STATE/COUNTRY                                LAT   LON     ELEV (meters)
119160 CHOPOK MOUNTAIN                                 CZ  4856N 01935E  2012   
119300 LOMNICKY STIT(PEAK)                             CZ  4912N 02013E  2635   
119680 KOSICE                                          CZ  4842N 02116E   232   
121000 KOLOBRZEG                                       PL  5411N 01535E     5   
121500 GDANSK                                          PL  5423N 01828E   138   
121950 SUWALKI                                         PL  5408N 02257E   186   
122050 SZCZECIN                                        PL  5324N 01437E     3   
122500 TORUN                                           PL  5302N 01835E    72   
122950 BIALYSTOK                                       PL  5306N 02310E   151   
123300 POZNAN                                          PL  5225N 01650E    92   
123750 WARSAW                                          PL  5210N 02058E   107   
124240 WROCLAW                                         PL  5106N 01653E   121   
124650 LODZ                                            PL  5144N 01924E   188   
124950 LUBLIN                                          PL  5113N 02224E   240   
125100 SNEZKA                                          PL  5044N 01544E  1613   
125600 KATOWICE                                        PL  5014N 01902E   284   
125660 KRAKOW                                          PL  5005N 01948E   237   
125700 KIELCE                                          PL  5049N 02042E   261   
126950 PRZEMYSL                                        PL  4948N 02246E   280   
128120 SZOMBATHELY                                     HU  4716N 01638E   221   
128390 BUDAPEST                                        HU  4726N 01916E   185   
128600 SZOLNOK                                         HU  4710N 02014E    85   
128820 DEBRECEN                                        HU  4729N 02138E   112   
129250 NAGYKANIZSA                                     HU  4627N 01659E   141   
129350 SIOFOK                                          HU  4655N 01802E   108   
129420 PECS                                            HU  4600N 01814E   203   
130140 LJUBLJANA                                       LJ  4613N 01429E   385   
130670 PALIC                                           YG  4606N 01946E   105   
131310 ZAGREB                                          RH  4544N 01604E   107   
132090 PULA                                            RH  4454N 01355E    63   
132420 BANJA LUKA                                      YG  4447N 01713E   156   
132720 BELGRADE                                        YG  4449N 02017E    99   
133330 SPLIT                                           RH  4332N 01618E    21   
134620 TITOGRAD                                        YG  4222N 01915E    33   
135860 SKOPJE                                          YG  4158N 02139E   239   
150100 SATU MARE                                       RO  4747N 02253E   124   
151200 CLUJ-NAPOCA                                     RO  4647N 02334E   413   
152470 TIMISOARA                                       RO  4546N 02115E    88   
152800 OMUL MOUNTAIN                                   RO  4527N 02527E  2509   
153100 GALATI                                          RO  4530N 02801E    72   
154200 BUCHAREST                                       RO  4430N 02608E    91   
154500 CRAIOVA                                         RO  4414N 02352E   195   
154800 CONSTANTA                                       RO  4413N 02838E    14   
155110 LOM                                             BU  4349N 02315E    33   
155350 RUSE                                            BU  4351N 02557E    45   
155520 VARNA                                           BU  4312N 02755E    43   
156140 SOFIA                                           BU  4239N 02323E   595   
156150 MUSALA                                          BU  4211N 02335E  2927   
156250 PLOVDIV                                         BU  4208N 02445E   185   
156270 BOTEVGRAD                                       BU  4240N 02450E  2389   
156550 BURGAS                                          BU  4229N 02729E    28   
160520 PIAN ROSA (MTN TOP)                             IY  4556N 00742E  3488   
160590 TORINO                                          IY  4513N 00739E   287   
160660 MILAN: MALPENSA                                 IY  4537N 00844E   211   
160800 MILAN: LINATE                                   IY  4526N 00917E   103   
161050 VENICE                                          IY  4530N 01220E     6   
161080 RONCHI LEGIONARI AB                             IY  4549N 01329E    12   
161200 GENOVA                                          IY  4425N 00851E     3   
161400 BOLOGNA                                         IY  4432N 01118E    42   
161580 PISA                                            IY  4341N 01023E     1   
161810 PERUGIA                                         IY  4305N 01230E   205   
162420 ROME                                            IY  4148N 01214E     3   
162520 CAMPOBASSO                                      IY  4134N 01439E   807   
162890 NAPLES                                          IY  4051N 01418E    72   
163200 BRINDISI                                        IY  4039N 01757E    10   
164050 PALERMO                                         IY  3811N 01306E    34   
164200 MESSINA                                         IY  3812N 01533E    51   
164600 CATANIA                                         IY  3728N 01503E    17   
165970 LUQA                                            ML  3551N 01429E    91   
166220 THESSALONIKI                                    GR  4031N 02258E     4   
166270 ALEXANDROUPOLIS                                 GR  4051N 02555E     3   
166430 PREVEZA                                         GR  3857N 02046E     4   
166480 LARISA                                          GR  3938N 02225E    74   
166820 ANDRAVIDA                                       GR  3755N 02117E    12   
167100 TRIPOLIS                                        GR  3732N 02224E   652   
167160 ATHENS                                          GR  3754N 02344E    15   
167180 ELEVSIS                                         GR  3804N 02333E    31   
167230 SAMOS                                           GR  3742N 02655E     7   
167460 SOUDHA                                          GR  3529N 02407E   151   
167490 RODHOS                                          GR  3624N 02805E    11   
167540 IRAKLION                                        GR  3520N 02511E    39   
170600 ISTANBUL                                        TU  4058N 02849E    37   
170960 ERZURUM                                         TU  3955N 04116E  1758   
171240 ESKISEHIR                                       TU  3947N 03034E   785   
171280 ANKARA                                          TU  4007N 03259E   949   
171700 VAN                                             TU  3827N 04319E  1661   
172000 MALATYA                                         TU  3826N 03805E   849   
172180 IZMIR                                           TU  3830N 02701E     5   
173500 ADANA                                           TU  3700N 03525E    66   
176000 PAPHOS                                          CY  3443N 03229E     8   
176010 AKROTIRI                                        CY  3435N 03259E    23   
176090 LARNACA                                         CY  3453N 03338E     2   
221130 MURMANSK                                        RS  6858N 03303E    51   
225500 ARKHANGEL'SK                                    RS  6432N 04028E    13   
228200 PETROZAVODSK                                    RS  6149N 03416E   112   
230740 DUDINKA                                         RA  6924N 08610E    19   
238040 SYKTYVKAR                                       RA  6143N 05050E   119   
246390 NYURBA                                          RA  6317N 11820E   129   
249440 OLEKMINSK                                       RA  6024N 12025E   226   
249590 YAKUTSK                                         RA  6205N 12945E   103   
253780 EGVEKINOT                                       RA  6621N 17907W    26   
